,Transimission_Type,Ownership,Fuel_Used,km_driven,selling_price,Place of Origin,Complete_Info,Age
0,Manual,1st Owner,Petrol,8339,337599,Ahmedabad,2016 Maruti Alto K10 VXI Manual,6
1,Automatic,1st Owner,Petrol,950,1630999,Ahmedabad,2021 Mahindra Thar LX PETROL AT 4WD Automatic,1
2,Manual,1st Owner,Petrol,7831,629599,Ahmedabad,2021 Maruti Swift LXI Manual,1
3,Manual,2nd Owner,Petrol,21596,1039099,Ahmedabad,2020 Maruti Ertiga ZXI Plus SHVS Manual,2
4,Manual,1st Owner,Petrol,29438,1039099,Ahmedabad,2020 Maruti Ertiga ZXI Plus SHVS Manual,2
5,Manual,1st Owner,Petrol,58962,382799,Ahmedabad,2015 Hyundai i10 SPORTZ 1.1 IRDE2 Manual,7
6,Manual,1st Owner,Petrol,5645,991099,Ahmedabad,2020 Tata NEXON XZ+ 1.2 Manual,2
7,Manual,1st Owner,Petrol,3586,580599,Ahmedabad,2020 Maruti New  Wagon-R VXI 1.0 Manual,2
8,Automatic,2nd Owner,Diesel,40422,1968199,Ahmedabad,2018 Audi A3 35TDI PREMIUM Automatic,4
9,Manual,1st Owner,Petrol,38635,367599,Ahmedabad,2015 Hyundai i10 MAGNA 1.1 IRDE2 Manual,7
10,Manual,1st Owner,Diesel,68394,584199,Ahmedabad,2017 Volkswagen Polo HIGHLINE1.5L DIESEL Manual,5
11,Manual,1st Owner,Diesel,3378,1673799,Ahmedabad,2021 Hyundai Creta SX MT Manual,1
12,Manual,1st Owner,Petrol,13842,576699,Ahmedabad,2016 Maruti Swift VXI OPT Manual,6
13,Automatic,1st Owner,Petrol,18829,579799,Ahmedabad,2017 Honda Brio 1.2 VX AT I VTEC Automatic,5
14,Manual,2nd Owner,Petrol,8543,656599,Ahmedabad,2021 Maruti Swift VXI Manual,1
15,Manual,1st Owner,Petrol,38507,491199,Ahmedabad,2018 Maruti Celerio VXI Manual,4
16,Automatic,1st Owner,Petrol,12467,1102499,Ahmedabad,2021 Volkswagen Polo GT TSI AT 1.0 Automatic,1
17,Manual,1st Owner,Diesel,52410,1487699,Ahmedabad,2018 Toyota Innova Crysta 2.4 GX 7 STR Manual,4
18,Manual,1st Owner,Petrol,16721,381799,Ahmedabad,2018 Renault Kwid 1.0 RXT Opt Manual,4
19,Manual,2nd Owner,Petrol,37711,563799,Ahmedabad,2019 Maruti Swift VXI Manual,3
20,Manual,1st Owner,Petrol,10024,468199,Ahmedabad,2020 Maruti S PRESSO VXI Manual,2
21,Manual,1st Owner,Petrol,20605,564299,Ahmedabad,2019 Maruti New  Wagon-R ZXI 1.2 Manual,3
22,Manual,1st Owner,Petrol,39435,499899,Ahmedabad,2015 Maruti Swift VXI Manual,7
23,Manual,2nd Owner,Petrol,47367,371599,Ahmedabad,2015 Hyundai i10 MAGNA 1.1 IRDE2 Manual,7
24,Manual,1st Owner,Petrol,26980,588899,Ahmedabad,2018 Volkswagen Polo COMFORTLINE 1.0 PETROL Manual,4
25,Manual,1st Owner,Petrol,41268,371599,Ahmedabad,2015 Hyundai i10 MAGNA 1.1 IRDE2 Manual,7
26,Manual,1st Owner,Petrol,31321,492399,Ahmedabad,2018 Maruti Celerio VXI Manual,4
27,Manual,1st Owner,Petrol,36695,486699,Ahmedabad,2015 Maruti Swift VXI Manual,7
28,Manual,2nd Owner,Petrol,34834,349999,Ahmedabad,2014 Maruti Celerio VXI Manual,8
29,Manual,1st Owner,Petrol,40074,563199,Ahmedabad,2016 Volkswagen Polo HIGHLINE1.2L PETROL Manual,6
30,Manual,1st Owner,Petrol,31436,360699,Ahmedabad,2018 Renault Kwid 1.0 RXT Opt Manual,4
31,Manual,1st Owner,Petrol,5306,804399,Ahmedabad,2020 Hyundai VENUE S MT 1.2 KAPPA Manual,2
32,Manual,1st Owner,Petrol,38732,400899,Ahmedabad,2015 Honda Brio 1.2 S MT I VTEC Manual,7
33,Manual,1st Owner,Petrol,24576,420099,Ahmedabad,2017 Maruti Celerio VXI Manual,5
34,Manual,1st Owner,Petrol,26929,475999,Ahmedabad,2017 Hyundai Grand i10 MAGNA 1.2 KAPPA VTVT Manual,5
