,Transimission_Type,Ownership,Fuel_Used,km_driven,selling_price,Place of Origin,Complete_Info,Age
0,Manual,1st Owner,Petrol,28638,298199,Bengaluru,2014 Datsun Go T Manual,8
1,Automatic,1st Owner,Petrol,18967,1023199,Bengaluru,2019 Renault Duster RXS (O) CVT Automatic,3
2,Automatic,1st Owner,Petrol,3156,769099,Bengaluru,2021 Maruti New  Wagon-R ZXI 1.2L AGS Automatic,1
3,Manual,1st Owner,Petrol,11819,522199,Bengaluru,2019 Maruti Celerio ZXI Manual,3
4,Manual,1st Owner,Petrol,38633,603499,Bengaluru,2016 Hyundai Elite i20 SPORTZ 1.2 Manual,6
5,Automatic,2nd Owner,Petrol,31859,872299,Bengaluru,2017 Renault Duster RXS CVT 106 PS Automatic,5
6,Manual,1st Owner,Petrol,9755,614799,Bengaluru,2016 Maruti Swift VXI OPT Manual,6
7,Manual,2nd Owner,Petrol,57210,371199,Bengaluru,2010 Hyundai i20 ASTA 1.2 Manual,12
8,Manual,1st Owner,Diesel,35242,1198599,Bengaluru,2018 Mahindra Scorpio S5 2WD Manual,4
9,Manual,1st Owner,Petrol,17302,729099,Bengaluru,2019 Hyundai Elite i20 MAGNA+ VTVT Manual,3
10,Manual,1st Owner,Diesel,71705,923999,Bengaluru,2017 Renault Duster RXZ 85 PS DIESEL Manual,5
11,Manual,1st Owner,Petrol,38468,522999,Bengaluru,2015 Maruti Swift VXI Manual,7
12,Automatic,1st Owner,Petrol,4834,950599,Bengaluru,2019 Hyundai Elite i20 1.2 SPORTS PLUS VTVT CVT Automatic,3
13,Manual,1st Owner,Petrol,33425,742799,Bengaluru,2019 Ford FREESTYLE TITANIUM 1.2 TI-VCT MT Manual,3
14,Manual,1st Owner,Petrol,51781,493499,Bengaluru,2014 Maruti Swift VXI Manual,8
15,Manual,1st Owner,Petrol,31258,591599,Bengaluru,2014 Maruti Swift ZXI Manual,8
16,Manual,2nd Owner,Petrol,59213,472599,Bengaluru,2013 Hyundai i20 ASTA 1.2 Manual,9
17,Automatic,1st Owner,Petrol,13134,1450899,Bengaluru,2019 Hyundai Creta 1.6 VTVT SX AUTO Automatic,3
18,Manual,2nd Owner,Petrol,11086,535899,Bengaluru,2017 Tata Tiago XZ 1.2 REVOTRON Manual,5
19,Manual,1st Owner,Petrol,14417,1195899,Bengaluru,2020 Honda City V MT PETROL Manual,2
