,Transimission_Type,Ownership,Fuel_Used,km_driven,selling_price,Place of Origin,Complete_Info,Age
0,Manual,2nd Owner,Petrol,64587,226499,Chennai,2009 Hyundai i10 MAGNA 1.2 Manual,13
1,Manual,2nd Owner,Petrol,20572,639299,Chennai,2018 Volkswagen Polo COMFORTLINE 1.0 PETROL Manual,4
2,Manual,2nd Owner,Petrol,32730,469099,Chennai,2016 Tata Tiago XZ 1.2 REVOTRON Manual,6
3,Manual,1st Owner,Petrol,7238,708799,Chennai,2019 Honda Jazz VX  1.2 Manual,3
4,Automatic,1st Owner,Petrol,4798,789899,Chennai,2021 Hyundai GRAND I10 NIOS SPORTZ 1.2 AT Automatic,1
5,Manual,1st Owner,Petrol,20731,846599,Chennai,2020 Volkswagen Polo HIGH LINE PLUS 1.0 Manual,2
6,Manual,1st Owner,Petrol,63251,338199,Chennai,2014 Hyundai i10 MAGNA 1.1 IRDE2 Manual,8
7,Manual,1st Owner,Petrol,33754,718299,Chennai,2016 Honda City V MT PETROL Manual,6
8,Manual,1st Owner,Petrol,25255,610499,Chennai,2017 Hyundai Elite i20 SPORTZ 1.2 Manual,5
9,Manual,1st Owner,Petrol,7652,488299,Chennai,2020 Maruti Celerio Tour H2 Manual,2
10,Manual,1st Owner,Petrol,4352,504299,Chennai,2021 Renault Kwid 1.0 RXT Opt Manual,1
11,Manual,1st Owner,Petrol,69230,484899,Chennai,2016 Volkswagen Polo COMFORTLINE 1.2L PETROL Manual,6
12,Manual,1st Owner,Petrol,24834,1019699,Chennai,2019 Hyundai VENUE 1.0L Turbo GDI SX(O) MT Manual,3
13,Manual,1st Owner,Petrol,29838,762199,Chennai,2020 Tata ALTROZ XZ 1.2 Manual,2
14,Manual,1st Owner,Petrol,8600,881199,Chennai,2020 Hyundai VENUE S MT 1.2 KAPPA Manual,2
15,Manual,1st Owner,Petrol,32442,386299,Chennai,2014 Maruti Celerio VXI Manual,8
16,Automatic,1st Owner,Petrol,32429,731899,Chennai,2019 Maruti Swift VXI AMT Automatic,3
17,Automatic,1st Owner,Petrol,20618,493299,Chennai,2019 Renault Kwid CLIMBER 1.0 AT Automatic,3
18,Manual,1st Owner,Petrol,11812,850099,Chennai,2017 Hyundai Verna 1.6 SX VTVT Manual,5
19,Manual,1st Owner,Petrol,14656,848899,Chennai,2021 Hyundai VENUE S MT 1.2 KAPPA Manual,1
20,Manual,1st Owner,Petrol,14365,562199,Chennai,2018 Maruti Swift LXI Manual,4
21,Manual,1st Owner,Petrol,54157,589299,Chennai,2019 Maruti Swift LXI Manual,3
22,Manual,1st Owner,Petrol,19953,562099,Chennai,2017 Maruti Swift VXI OPT Manual,5
23,Manual,1st Owner,Petrol,7573,936499,Chennai,2021 Maruti Vitara Brezza VXI Manual,1
24,Manual,1st Owner,Petrol,10732,688299,Chennai,2020 Hyundai GRAND I10 NIOS SPORTZ PETROL Manual,2
25,Manual,2nd Owner,Diesel,87566,414099,Chennai,2014 Volkswagen Polo TRENDLINE 1.5L DIESEL Manual,8
26,Manual,1st Owner,Petrol,43569,324999,Chennai,2012 Honda Brio 1.2 E MT I VTEC Manual,10
27,Manual,1st Owner,Diesel,34502,2268199,Chennai,2019 Jeep Compass LIMITED PLUS 2.0 4*4 Manual,3
28,Manual,1st Owner,Petrol,23338,574899,Chennai,2017 Honda Amaze 1.2 SMT I VTEC Manual,5
29,Manual,1st Owner,Petrol,32620,565699,Chennai,2016 Maruti Swift VXI OPT Manual,6
30,Manual,1st Owner,Petrol,15526,970599,Chennai,2019 Honda City V MT PETROL Manual,3
31,Manual,1st Owner,Diesel,75846,580599,Chennai,2017 Maruti Swift VDI ABS Manual,5
32,Automatic,1st Owner,Petrol,20417,1371399,Chennai,2020 Honda City VX CVT PETROL Automatic,2
33,Manual,1st Owner,Petrol,25112,690099,Chennai,2016 Ford Ecosport 1.5 TITANIUM TI VCT Manual,6
34,Automatic,1st Owner,Petrol,14372,671299,Chennai,2017 Maruti Dzire ZXI AMT Automatic,5
35,Manual,2nd Owner,Petrol,34714,425599,Chennai,2014 Hyundai Grand i10 SPORTZ 1.2 KAPPA VTVT Manual,8
36,Manual,1st Owner,Diesel,277250,1504999,Chennai,2016 Toyota Innova Crysta 2.4 ZX 7 STR Manual,6
37,Automatic,1st Owner,Petrol,73966,475499,Chennai,2016 Maruti Celerio ZXI OPT AMT Automatic,6
38,Automatic,1st Owner,Diesel,58464,899099,Chennai,2018 Maruti Vitara Brezza ZDI + AMT Automatic,4
39,Manual,2nd Owner,Diesel,85464,652899,Chennai,2016 Hyundai Elite i20 1.4 CRDI ASTA (O) Manual,6
40,Manual,2nd Owner,Petrol,68194,528599,Chennai,2019 Tata Tiago XZ+ 1.2 Revotron Manual,3
41,Manual,1st Owner,Diesel,120225,445299,Chennai,2013 Maruti Swift Dzire VDI BS IV Manual,9
42,Manual,2nd Owner,Petrol,51079,464899,Chennai,2015 Maruti Swift VXI Manual,7
43,Manual,1st Owner,Diesel,162740,432499,Chennai,2013 Maruti Swift Dzire VDI BS IV Manual,9
44,Manual,1st Owner,Petrol,38695,562399,Chennai,2017 Maruti Swift VXI Manual,5
45,Manual,1st Owner,Petrol,45838,294699,Chennai,2016 Hyundai Eon ERA PLUS (O) Manual,6
46,Manual,1st Owner,Petrol,78914,362999,Chennai,2012 Honda Brio 1.2 V MT I VTEC Manual,10
47,Manual,2nd Owner,Petrol,30007,560499,Chennai,2016 Maruti Swift VXI OPT Manual,6
48,Manual,1st Owner,Petrol,38084,637099,Chennai,2020 Hyundai GRAND I10 NIOS 1.2 Kappa Sports MT Manual,2
49,Manual,2nd Owner,Petrol,42875,291599,Chennai,2014 Hyundai Eon MAGNA PLUS Manual,8
50,Manual,1st Owner,Petrol,16361,579499,Chennai,2018 Hyundai Grand i10 SPORTZ 1.2 KAPPA VTVT Manual,4
51,Manual,1st Owner,Petrol,57811,248099,Chennai,2014 Maruti Alto 800 LXI Manual,8
52,Manual,1st Owner,Petrol,39895,274799,Chennai,2015 Maruti Alto 800 LXI Manual,7
53,Manual,1st Owner,Petrol,10977,920499,Chennai,2020 Maruti Ciaz DELTA 1.5 SHVS VVT MT Manual,2
54,Manual,1st Owner,Petrol,40077,292299,Chennai,2015 Maruti Alto 800 LXI Manual,7
55,Manual,1st Owner,Diesel,68166,436499,Chennai,2013 Maruti Swift VDI Manual,9
56,Manual,2nd Owner,Petrol,16179,446799,Chennai,2016 Hyundai Grand i10 MAGNA 1.2 KAPPA VTVT Manual,6
57,Manual,2nd Owner,Petrol,42423,269399,Chennai,2015 Maruti Alto 800 VXI Manual,7
58,Automatic,1st Owner,Petrol,130482,372999,Chennai,2015 Maruti Celerio VXI AMT Automatic,7
