,Transimission_Type,Ownership,Fuel_Used,km_driven,selling_price,Place of Origin,Complete_Info,Age
0,Automatic,1st Owner,Petrol,8717,1790199,Gurgaon,2019 MG HECTOR SHARP DCT PETROL Automatic,3
1,Manual,2nd Owner,Petrol,14389,912399,Gurgaon,2018 Honda City VX MT PETROL Manual,4
2,Manual,1st Owner,Petrol,39307,417399,Gurgaon,2010 Honda City S MT PETROL Manual,12
3,Automatic,1st Owner,Petrol,12267,1756699,Gurgaon,2019 MG HECTOR SHARP DCT PETROL Automatic,3
4,Automatic,2nd Owner,Diesel,91557,1337399,Gurgaon,2014 Audi A3 35TDI PREMIUM Automatic,8
5,Manual,1st Owner,Petrol,3627,1112399,Gurgaon,2020 Honda City V MT PETROL Manual,2
6,Manual,2nd Owner,Petrol,21902,332599,Gurgaon,2019 Renault Kwid RXL Manual,3
7,Automatic,1st Owner,Petrol,44389,995499,Gurgaon,2020 Toyota YARIS G CVT Automatic,2
8,Manual,1st Owner,Diesel,76959,1185099,Gurgaon,2017 Jeep Compass 2.0 LIMITED Manual,5
9,Manual,2nd Owner,Diesel,52447,1528299,Gurgaon,2019 MG HECTOR SUPER DIESEL Manual,3
10,Manual,1st Owner,Petrol,35158,572399,Gurgaon,2019 Honda Amaze 1.2 EMT I VTEC Manual,3
11,Automatic,2nd Owner,Diesel,30382,1619599,Gurgaon,2016 BMW X1 SDRIVE 20D Automatic,6
12,Automatic,1st Owner,Diesel,51934,1261499,Gurgaon,2014 Audi A3 2.0 TDI  PREMIUM Automatic,8
13,Manual,1st Owner,Petrol,6962,500199,Gurgaon,2021 Renault Kwid 1.0 RXT Opt Manual,1
14,Manual,1st Owner,Petrol,28153,391399,Gurgaon,2016 Tata Tiago XT 1.2 REVOTRON Manual,6
15,Automatic,1st Owner,Petrol,38644,1661699,Gurgaon,2019 MG HECTOR SHARP DCT PETROL Automatic,3
16,Manual,1st Owner,Petrol,6629,1320699,Gurgaon,2020 Honda City VX MT PETROL Manual,2
17,Manual,2nd Owner,Diesel,78295,1548999,Gurgaon,2016 Ford Endeavour 2.2l 4X4 MT Trend Manual,6
18,Manual,1st Owner,Petrol,7212,1297699,Gurgaon,2020 Honda City VX MT PETROL Manual,2
19,Automatic,1st Owner,Petrol,12855,605799,Gurgaon,2017 Hyundai Grand i10 SPORTZ (O) 1.2 AT VTVT Automatic,5
20,Manual,2nd Owner,Petrol,13223,588499,Gurgaon,2020 Hyundai Grand i10 MAGNA 1.2 VTVT Manual,2
21,Manual,2nd Owner,Petrol,42163,1367499,Gurgaon,2019 Jeep Compass 1.4 SPORT PETROL Manual,3
22,Manual,3rd Owner,Petrol,33336,424499,Gurgaon,2017 Volkswagen Polo COMFORTLINE 1.2L PETROL Manual,5
23,Automatic,1st Owner,Petrol,23128,2012799,Gurgaon,2019 Jeep Compass 1.4  LONGITUDE (O) AT Automatic,3
24,Manual,3rd Owner,Petrol,23315,525699,Gurgaon,2018 Maruti Baleno DELTA 1.2 K12 Manual,4
25,Manual,1st Owner,Diesel,46400,1897599,Gurgaon,2019 Jeep Compass 2.0 LIMITED Manual,3
26,Manual,2nd Owner,Petrol,3544,490499,Gurgaon,2020 Hyundai NEW SANTRO 1.1 ERA EXICUTIVE Manual,2
27,Automatic,1st Owner,Petrol,7568,1741799,Gurgaon,2020 KIA SELTOS GTX + AT PETROL Automatic,2
28,Manual,3rd Owner,Petrol,11731,449799,Gurgaon,2020 Maruti New  Wagon-R LXI 1.0 L Manual,2
29,Manual,1st Owner,Petrol,22331,949099,Gurgaon,2019 Hyundai Creta 1.6 E + VTVT Manual,3
30,Manual,1st Owner,Petrol,17117,779899,Gurgaon,2017 Honda WR-V 1.2 i-VTEC VX MT Manual,5
31,Automatic,1st Owner,Petrol,19005,1987699,Gurgaon,2019 Honda Civic ZX CVT PETROL Automatic,3
32,Manual,1st Owner,Petrol,21473,212799,Gurgaon,2009 Hyundai i10 ERA 1.1 IRDE Manual,13
33,Manual,2nd Owner,Petrol,22638,617899,Gurgaon,2019 Hyundai Elite i20 1.2 MAGNA PLUS VTVT Manual,3
34,Automatic,2nd Owner,Diesel,28289,1561199,Gurgaon,2013 Jaguar XF 2.2 DIESEL Automatic,9
35,Manual,1st Owner,Petrol,78490,404999,Gurgaon,2015 Maruti Swift VXI Manual,7
36,Manual,2nd Owner,Petrol,23845,586399,Gurgaon,2013 Toyota Corolla Altis G Manual,9
