,Transimission_Type,Ownership,Fuel_Used,km_driven,selling_price,Place of Origin,Complete_Info,Age
0,Manual,1st Owner,Petrol,2072,717699,Hyderabad,2021 Maruti Celerio ZXI Manual,1
1,Manual,1st Owner,Petrol,38202,394999,Hyderabad,2015 Hyundai i10 SPORTZ 1.1 IRDE2 Manual,7
2,Manual,1st Owner,Petrol,18456,494999,Hyderabad,2010 Honda City S MT PETROL Manual,12
3,Manual,2nd Owner,Petrol,53358,328399,Hyderabad,2016 Renault Kwid RXL Manual,6
4,Manual,1st Owner,Petrol,7033,1066799,Hyderabad,2020 Renault Duster RXZ Manual,2
5,Manual,2nd Owner,Petrol,46439,585599,Hyderabad,2016 Maruti Swift ZXI Manual,6
6,Manual,1st Owner,Petrol,55357,378699,Hyderabad,2013 Hyundai i10 MAGNA 1.2 KAPPA2 Manual,9
7,Manual,1st Owner,Petrol,79986,592299,Hyderabad,2017 Maruti Swift VXI OPT Manual,5
8,Manual,1st Owner,Petrol,31441,447299,Hyderabad,2014 Maruti Swift VXI Manual,8
9,Automatic,1st Owner,Petrol,21719,1033999,Hyderabad,2021 Volkswagen Polo HIGHLINE PLUS 1.0 TSI AT Automatic,1
10,Manual,1st Owner,Petrol,28491,708199,Hyderabad,2019 Hyundai Elite i20 1.2 MAGNA PLUS VTVT Manual,3
11,Automatic,2nd Owner,Petrol,95761,622299,Hyderabad,2009 Toyota Corolla Altis VL AT Automatic,13
12,Manual,3rd Owner,Petrol,33556,292999,Hyderabad,2014 Maruti Alto K10 VXI Manual,8
13,Manual,1st Owner,Petrol,9213,1236699,Hyderabad,2020 KIA SELTOS HTK PLUS 1.5 PETROL Manual,2
14,Manual,2nd Owner,Diesel,60086,507099,Hyderabad,2014 Maruti Swift VDI Manual,8
15,Manual,1st Owner,Diesel,30995,1342399,Hyderabad,2021 Hyundai VENUE SX(O) CRDi Manual,1
16,Automatic,1st Owner,Diesel,77868,1186599,Hyderabad,2017 Hyundai Creta 1.6 CRDI SX PLUS AUTO Automatic,5
17,Manual,1st Owner,Diesel,15339,2195299,Hyderabad,2021 Mahindra XUV500 W11 Manual,1
18,Manual,1st Owner,Petrol,57222,482799,Hyderabad,2015 Hyundai Grand i10 SPORTZ 1.2 KAPPA VTVT Manual,7
19,Automatic,1st Owner,Petrol,28088,591499,Hyderabad,2019 Hyundai NEW SANTRO 1.1 SPORTS AMT Automatic,3
20,Manual,2nd Owner,Petrol,54468,263899,Hyderabad,2013 Maruti Alto 800 LXI Manual,9
21,Automatic,1st Owner,Petrol,55975,878199,Hyderabad,2017 Honda BR-V 1.5 i-VTEC V CVT Automatic,5
22,Manual,1st Owner,Diesel,85222,841099,Hyderabad,2016 Maruti Vitara Brezza ZDI PLUS DUAL TONE Manual,6
23,Manual,1st Owner,Diesel,41512,1018099,Hyderabad,2020 Hyundai VENUE 1.5 SX CRDI MT Manual,2
24,Manual,1st Owner,Petrol,16104,396999,Hyderabad,2017 Maruti Alto K10 VXI Manual,5
25,Manual,1st Owner,Petrol,3509,469099,Hyderabad,2020 Maruti S PRESSO VXI Manual,2
26,Manual,1st Owner,Petrol,235314,269299,Hyderabad,2015 Maruti Alto K10 VXI Manual,7
27,Manual,1st Owner,Petrol,29941,1191799,Hyderabad,2019 Hyundai Creta 1.6 SX VTVT Manual,3
28,Automatic,1st Owner,Petrol,16183,1058099,Hyderabad,2019 Ford Ecosport 1.5 TITANIUM PLUS TI VCT AT Automatic,3
29,Manual,1st Owner,Petrol,71379,812399,Hyderabad,2017 Hyundai Verna FLUIDIC 1.6 SX VTVT Manual,5
30,Manual,3rd Owner,Petrol,39658,536999,Hyderabad,2017 Hyundai Grand i10 SPORTZ 1.2 KAPPA VTVT Manual,5
31,Manual,1st Owner,Petrol,46722,436999,Hyderabad,2019 Maruti Alto K10 VXI Manual,3
32,Manual,1st Owner,Petrol,25708,716499,Hyderabad,2019 Hyundai Elite i20 1.2 SPORTS PLUS VTVT Manual,3
33,Automatic,1st Owner,Petrol,44040,591499,Hyderabad,2019 Hyundai NEW SANTRO 1.1 SPORTS AMT Automatic,3
34,Manual,1st Owner,Petrol,77210,719999,Hyderabad,2017 Honda WR-V 1.2 i-VTEC VX MT Manual,5
35,Automatic,1st Owner,Petrol,5998,1230799,Hyderabad,2020 Ford Ecosport 1.5 TITANIUM PLUS TI VCT AT Automatic,2
36,Manual,1st Owner,Diesel,20706,997399,Hyderabad,2020 Ford Ecosport 1.5TITANIUM TDCI Manual,2
37,Manual,1st Owner,Petrol,56518,393599,Hyderabad,2015 Maruti Wagon R 1.0 VXI Manual,7
38,Manual,2nd Owner,Petrol,86990,343399,Hyderabad,2012 Maruti Wagon R 1.0 VXI Manual,10
39,Manual,1st Owner,Petrol,21485,628399,Hyderabad,2019 Hyundai Grand i10 ASTA 1.2 VTVT Manual,3
40,Manual,1st Owner,Petrol,103616,605799,Hyderabad,2016 Maruti Baleno ZETA 1.2 K12 Manual,6
41,Manual,2nd Owner,Petrol,64715,454999,Hyderabad,2018 Maruti Wagon R 1.0 VXI Manual,4
42,Automatic,2nd Owner,Diesel,74283,943299,Hyderabad,2019 Maruti Vitara Brezza ZDI + AMT Automatic,3
