,Transimission_Type,Ownership,Fuel_Used,km_driven,selling_price,Place of Origin,Complete_Info,Age
0,Manual,1st Owner,Petrol,3373,387299,Kolkata,2018 Renault Kwid CLIMBER 1.0 Manual,4
1,Manual,1st Owner,Petrol,7280,537899,Kolkata,2018 Maruti Swift VXI Manual,4
2,Automatic,1st Owner,Diesel,31512,1954399,Kolkata,2014 Jaguar XF 3.0 S V6 Automatic,8
3,Manual,1st Owner,Petrol,819,611699,Kolkata,2020 Maruti New  Wagon-R VXI 1.0 Manual,2
4,Manual,1st Owner,Petrol,8807,588899,Kolkata,2019 Ford Figo Aspire 1.2 Trend+ Petrol Manual,3
5,Manual,2nd Owner,Petrol,55233,349499,Kolkata,2014 Maruti Swift VXI Manual,8
6,Manual,1st Owner,Petrol,15744,348799,Kolkata,2014 Hyundai i10 SPORTZ 1.1 IRDE2 Manual,8
7,Manual,2nd Owner,Petrol,48892,276099,Kolkata,2014 Hyundai i10 SPORTZ 1.1 IRDE2 Manual,8
8,Manual,1st Owner,Diesel,82795,625599,Kolkata,2015 Toyota Corolla Altis D 4D J Manual,7
9,Manual,1st Owner,Petrol,6594,657599,Kolkata,2018 Renault Captur RXE PETROL MT Manual,4
10,Manual,1st Owner,Petrol,7221,787099,Kolkata,2020 Tata ALTROZ XZ 1.2 Manual,2
11,Manual,1st Owner,Petrol,13245,573499,Kolkata,2014 Maruti Ertiga ZXI Manual,8
12,Automatic,1st Owner,Petrol,34687,634599,Kolkata,2014 Honda City VX CVT PETROL Automatic,8
13,Manual,1st Owner,Petrol,32894,406699,Kolkata,2014 Hyundai i20 SPORTZ 1.2 VTVT Manual,8
14,Manual,2nd Owner,Petrol,66143,301199,Kolkata,2012 Hyundai i20 MAGNA O 1.2 Manual,10
15,Manual,1st Owner,Petrol,13682,529199,Kolkata,2018 Volkswagen Polo COMFORTLINE 1.0 PETROL Manual,4
16,Manual,1st Owner,Petrol,8880,578499,Kolkata,2018 Hyundai Elite i20 SPORTZ 1.2 Manual,4
17,Manual,1st Owner,Petrol,15760,496599,Kolkata,2019 Tata Tiago XZ+ 1.2 Revotron Manual,3
18,Manual,2nd Owner,Petrol,36923,333199,Kolkata,2014 Maruti Wagon R Stingray VXI Manual,8
19,Manual,1st Owner,Petrol,14736,735599,Kolkata,2019 Hyundai VENUE E MT 1.2  KAPPA Manual,3
20,Manual,1st Owner,Petrol,31323,537899,Kolkata,2018 Maruti Swift VXI Manual,4
21,Manual,1st Owner,Petrol,8658,669199,Kolkata,2019 Honda Amaze 1.2 VXMT I VTEC Manual,3
22,Manual,1st Owner,Petrol,19472,563799,Kolkata,2019 Maruti Swift VXI Manual,3
23,Automatic,1st Owner,Petrol,24401,523099,Kolkata,2016 Honda Jazz 1.2 V AT Automatic,6
24,Manual,1st Owner,Petrol,12893,477599,Kolkata,2018 Hyundai NEW SANTRO SPORTZ 1.1 Manual,4
25,Manual,2nd Owner,Petrol,75282,393999,Kolkata,2014 Maruti Swift Dzire VXI 1.2 BS IV Manual,8
26,Manual,2nd Owner,Petrol,51756,330199,Kolkata,2015 Honda Amaze 1.2 SMT I VTEC Manual,7
27,Manual,1st Owner,Petrol,21668,537899,Kolkata,2018 Maruti Swift VXI Manual,4
28,Manual,1st Owner,Petrol,24019,544799,Kolkata,2019 Maruti New  Wagon-R ZXI 1.2 Manual,3
29,Manual,1st Owner,Petrol,59673,332699,Kolkata,2012 Maruti Swift Dzire VXI 1.2 BS IV Manual,10
30,Manual,2nd Owner,Petrol,31871,510399,Kolkata,2017 Hyundai Elite i20 SPORTZ 1.2 Manual,5
31,Manual,1st Owner,Petrol,33830,496999,Kolkata,2015 Hyundai Elite i20 SPORTZ (O) 1.2 Manual,7
32,Manual,1st Owner,Petrol,21240,482099,Kolkata,2018 Ford Figo Aspire 1.2 TITANIUM PETROL Manual,4
33,Manual,1st Owner,Petrol,19649,688499,Kolkata,2019 Honda WR-V 1.2 i-VTEC S MT Manual,3
34,Manual,1st Owner,Petrol,29037,267099,Kolkata,2015 Maruti Alto K10 VXI Manual,7
35,Manual,1st Owner,Petrol,10872,491499,Kolkata,2019 Hyundai NEW SANTRO SPORTZ 1.1 Manual,3
36,Manual,1st Owner,Petrol,50939,255399,Kolkata,2015 Maruti Alto 800 LXI Manual,7
37,Manual,1st Owner,Petrol,37285,388999,Kolkata,2014 Maruti Swift VXI Manual,8
38,Manual,1st Owner,Petrol,50468,250399,Kolkata,2014 Maruti Alto 800 LXI Manual,8
39,Manual,1st Owner,Petrol,68118,431299,Kolkata,2014 Maruti Swift Dzire VXI 1.2 BS IV Manual,8
40,Manual,1st Owner,Petrol,53341,297099,Kolkata,2019 Maruti Alto 800 VXI Manual,3
41,Manual,2nd Owner,Diesel,155633,918499,Kolkata,2015 Toyota Innova 2.5 VX 8 STR BS IV Manual,7
42,Manual,1st Owner,Petrol,62133,430199,Kolkata,2014 Hyundai Elite i20 SPORTZ 1.2 Manual,8
43,Manual,2nd Owner,Petrol,48589,363399,Kolkata,2014 Honda Amaze 1.2 VXMT I VTEC Manual,8
44,Manual,2nd Owner,Petrol,17529,497099,Kolkata,2018 Hyundai Grand i10 ASTA 1.2 KAPPA VTVT Manual,4
45,Manual,1st Owner,Petrol,37685,509299,Kolkata,2018 Hyundai Elite i20 Magna Executive 1.2 Manual,4
46,Manual,1st Owner,Petrol,18638,405199,Kolkata,2016 Maruti Wagon R 1.0 VXI Manual,6
47,Manual,1st Owner,Petrol,66617,358099,Kolkata,2014 Hyundai Grand i10 SPORTZ 1.2 KAPPA VTVT Manual,8
48,Manual,2nd Owner,Petrol,14101,448399,Kolkata,2018 Hyundai NEW SANTRO SPORTZ 1.1 Manual,4
49,Manual,1st Owner,Petrol,60905,440499,Kolkata,2014 Honda City S MT PETROL Manual,8
50,Manual,1st Owner,Petrol,61045,556899,Kolkata,2019 Maruti Swift VXI Manual,3
51,Manual,1st Owner,Petrol,79338,537899,Kolkata,2018 Maruti Swift VXI Manual,4
52,Manual,1st Owner,Petrol,51160,474999,Kolkata,2013 Ford Ecosport 1.5 TITANIUM TI VCT Manual,9
53,Manual,1st Owner,Petrol,25032,418099,Kolkata,2017 Hyundai Grand i10 MAGNA 1.2 VTVT Manual,5
54,Manual,2nd Owner,Petrol,10930,573099,Kolkata,2018 Hyundai Xcent SX 1.2 Manual,4
55,Manual,1st Owner,Petrol,64056,364399,Kolkata,2013 Maruti Swift Dzire VXI 1.2 BS IV Manual,9
56,Manual,1st Owner,Petrol,3057,634299,Kolkata,2019 Maruti Baleno DELTA 1.2 K12 Manual,3
57,Manual,1st Owner,Petrol,67355,469399,Kolkata,2015 Hyundai Elite i20 ASTA 1.2 Manual,7
58,Manual,2nd Owner,Diesel,17649,609599,Kolkata,2018 Maruti Baleno DELTA DDIS 190 Manual,4
59,Manual,1st Owner,Petrol,12382,514299,Kolkata,2019 Hyundai Grand i10 MAGNA 1.2 VTVT Manual,3
60,Manual,1st Owner,Petrol,74531,537899,Kolkata,2018 Maruti Swift VXI Manual,4
61,Manual,1st Owner,Petrol,24631,227999,Kolkata,2014 Maruti Alto 800 LXI Manual,8
62,Manual,1st Owner,Petrol,6831,794499,Kolkata,2020 Ford Ecosport 1.5 TREND TI VCT Manual,2
63,Manual,1st Owner,Petrol,106265,452899,Kolkata,2015 Hyundai Elite i20 ASTA 1.2 Manual,7
64,Manual,1st Owner,Petrol,34276,530499,Kolkata,2015 Ford Ecosport 1.5 TITANIUM TI VCT Manual,7
65,Manual,1st Owner,Petrol,4259,366499,Kolkata,2020 Maruti Alto LXI Manual,2
66,Manual,1st Owner,Petrol,43769,307099,Kolkata,2018 Maruti Alto K10 VXI Manual,4
67,Manual,1st Owner,Diesel,95285,649299,Kolkata,2016 Maruti Vitara Brezza ZDI PLUS DUAL TONE Manual,6
68,Manual,1st Owner,Petrol,2034,732499,Kolkata,2020 Maruti Baleno ZETA 1.2 K12 Manual,2
69,Manual,1st Owner,Petrol,68126,413599,Kolkata,2014 Hyundai Grand i10 ASTA 1.2 (O) VTVT Manual,8
70,Manual,1st Owner,Petrol,43927,515399,Kolkata,2018 Maruti Baleno DELTA 1.2 K12 Manual,4
71,Manual,1st Owner,Petrol,21546,513799,Kolkata,2019 Hyundai Grand i10 SPORTZ 1.2 KAPPA VTVT Manual,3
72,Manual,1st Owner,Petrol,27385,388599,Kolkata,2017 Maruti Wagon R 1.0 VXI Manual,5
73,Manual,2nd Owner,Diesel,59277,466399,Kolkata,2014 Ford Ecosport 1.5TITANIUM TDCI Manual,8
74,Manual,2nd Owner,Diesel,47321,523399,Kolkata,2015 Hyundai Verna FLUIDIC 1.6 SX CRDI Manual,7
75,Manual,1st Owner,Diesel,71369,757999,Kolkata,2018 Maruti Vitara Brezza VDI OPT Manual,4
76,Manual,1st Owner,Diesel,135599,429999,Kolkata,2014 Maruti Ciaz VDI PLUS Manual,8
77,Manual,1st Owner,Petrol,36130,376999,Kolkata,2014 Hyundai Xcent S 1.2 OPT Manual,8
78,Manual,1st Owner,Petrol,37942,657599,Kolkata,2018 Maruti Ciaz ZETA 1.4 VVT Manual,4
79,Manual,2nd Owner,Diesel,70684,355999,Kolkata,2014 Honda Amaze 1.5 VXMT I DTEC Manual,8
80,Automatic,1st Owner,Petrol,17648,608399,Kolkata,2018 Maruti Dzire VXI AMT Automatic,4
81,Manual,1st Owner,Petrol,73111,359099,Kolkata,2014 Hyundai Xcent S 1.2 Manual,8
82,Automatic,1st Owner,Petrol,11526,616399,Kolkata,2019 Maruti Dzire VXI AMT Automatic,3
83,Manual,1st Owner,Petrol,27019,534299,Kolkata,2018 Maruti Baleno DELTA 1.2 K12 Manual,4
84,Manual,1st Owner,Petrol,30033,386999,Kolkata,2018 Maruti Alto K10 VXI Manual,4
85,Manual,1st Owner,Petrol,43586,695799,Kolkata,2018 Honda WR-V 1.2 i-VTEC VX MT Manual,4
86,Manual,2nd Owner,Petrol,24648,360799,Kolkata,2015 Maruti Wagon R 1.0 VXI Manual,7
87,Manual,1st Owner,Petrol,55766,663399,Kolkata,2018 Maruti Dzire ZXI Plus Manual,4
88,Manual,1st Owner,Petrol,35771,391099,Kolkata,2017 Maruti Wagon R 1.0 VXI Manual,5
89,Manual,1st Owner,Petrol,62791,465299,Kolkata,2015 Maruti Baleno DELTA 1.2 K12 Manual,7
90,Manual,1st Owner,Petrol,28908,361799,Kolkata,2015 Maruti Wagon R 1.0 VXI Manual,7
