,Transimission_Type,Ownership,Fuel_Used,km_driven,selling_price,Place of Origin,Complete_Info,Age
0,Manual,1st Owner,Diesel,39391,1211099,Mumbai,2019 Mahindra XUV 3OO W8(O) Manual,3
1,Automatic,1st Owner,Petrol,11907,666999,Mumbai,2020 Maruti New  Wagon-R ZXI 1.2L AGS Automatic,2
2,Manual,1st Owner,Petrol,28651,474299,Mumbai,2015 Maruti Swift Dzire VXI 1.2 BS IV Manual,7
3,Manual,1st Owner,Petrol,34587,379199,Mumbai,2013 Hyundai i20 MAGNA O 1.2 Manual,9
4,Manual,1st Owner,Petrol,38910,410999,Mumbai,2012 Hyundai i20 SPORTZ 1.2 VTVT Manual,10
5,Automatic,2nd Owner,Petrol,3678,517599,Mumbai,2017 Tata Tiago XZA 1.2 REVOTRON Automatic,5
6,Automatic,1st Owner,Diesel,81316,729399,Mumbai,2016 Volkswagen Vento HIGHLINE TDI AT Automatic,6
7,Automatic,1st Owner,Petrol,810,595599,Mumbai,2021 Renault Kwid 1.0 RXT Opt AT Automatic,1
8,Manual,1st Owner,Petrol,53337,762199,Mumbai,2014 Toyota Corolla Altis J S Manual,8
9,Manual,1st Owner,Diesel,49744,1651799,Mumbai,2019 Tata Harrier XZ 2.0L Kryotec Manual,3
10,Automatic,1st Owner,Diesel,37590,2157799,Mumbai,2018 Toyota Innova Crysta 2.8 ZX AT 7 STR Automatic,4
11,Manual,1st Owner,Petrol,32750,291999,Mumbai,2016 Maruti Alto 800 VXI Manual,6
12,Manual,2nd Owner,Petrol,22434,688099,Mumbai,2014 Toyota Corolla Altis J S Manual,8
13,Manual,1st Owner,Petrol,39841,489499,Mumbai,2014 Volkswagen Vento HIGHLINE PETROL Manual,8
14,Automatic,2nd Owner,Petrol,30224,701399,Mumbai,2017 Volkswagen Polo GT TSI 1.2 PETROL AT Automatic,5
15,Automatic,2nd Owner,Petrol,20699,439899,Mumbai,2016 Maruti Celerio ZXI OPT AMT Automatic,6
16,Automatic,2nd Owner,Petrol,9836,428799,Mumbai,2016 Maruti Celerio VXI AMT Automatic,6
17,Manual,1st Owner,Petrol,5327,1049599,Mumbai,2020 Tata NEXON XZ+ OPT PETROL Manual,2
18,Manual,1st Owner,Petrol,12618,740099,Mumbai,2020 Tata TIGOR XZ PLUS 1.2 REVOTRON Manual,2
19,Manual,1st Owner,Petrol,40495,452099,Mumbai,2014 Hyundai i20 ASTA 1.2 Manual,8
20,Manual,1st Owner,Petrol,28281,318899,Mumbai,2013 Honda Brio 1.2 S MT I VTEC Manual,9
21,Automatic,1st Owner,Petrol,44697,387099,Mumbai,2017 Renault Kwid RXT 1.0 EASY-R AT OPTION Automatic,5
22,Automatic,1st Owner,Petrol,94384,518299,Mumbai,2015 Volkswagen Polo GT TSI 1.2 PETROL AT Automatic,7
23,Automatic,1st Owner,Petrol,13513,474299,Mumbai,2019 Renault Kwid RXT 1.0 EASY-R AT OPTION Automatic,3
24,Manual,1st Owner,Petrol,11596,642299,Mumbai,2020 Honda Amaze 1.2 EMT I VTEC Manual,2
25,Manual,1st Owner,Petrol,30741,548599,Mumbai,2019 Maruti New  Wagon-R ZXI 1.2 Manual,3
26,Manual,1st Owner,Petrol,20736,858899,Mumbai,2020 Tata ALTROZ XZ 1.2 Manual,2
27,Manual,1st Owner,Petrol,16667,820999,Mumbai,2020 Tata ALTROZ XZ 1.2 Manual,2
28,Manual,1st Owner,Petrol,39409,411999,Mumbai,2013 Honda Amaze 1.2 SMT I VTEC Manual,9
29,Manual,1st Owner,Petrol,17689,837899,Mumbai,2020 Tata ALTROZ XZ 1.2 Manual,2
30,Manual,1st Owner,Diesel,43121,1206299,Mumbai,2017 Mahindra XUV500 W8 FWD Manual,5
31,Automatic,1st Owner,Petrol,50230,1441799,Mumbai,2016 Skoda Superb 1.8 TSI STYLE AT Automatic,6
32,Automatic,1st Owner,Petrol,20036,414399,Mumbai,2018 Renault Kwid RXT 1.0 EASY-R AT OPTION Automatic,4
33,Automatic,1st Owner,Petrol,3615,505999,Mumbai,2019 Renault Kwid RXT 1.0 EASY-R AT OPTION Automatic,3
34,Manual,1st Owner,Petrol,24045,513699,Mumbai,2015 Maruti Swift VXI Manual,7
35,Manual,1st Owner,Petrol,13708,1508299,Mumbai,2020 Hyundai Creta SX PETROL MT Manual,2
36,Automatic,1st Owner,Petrol,29775,395699,Mumbai,2016 Maruti Celerio VXI AMT Automatic,6
37,Manual,1st Owner,Petrol,10543,804399,Mumbai,2020 Tata ALTROZ XZ 1.2 Manual,2
38,Automatic,1st Owner,Petrol,3357,1420299,Mumbai,2021 Skoda Rapid STYLE 1.0 AT Automatic,1
39,Manual,1st Owner,Petrol,30635,501799,Mumbai,2016 Volkswagen Ameo HIGHLINE 1.2 Manual,6
40,Automatic,2nd Owner,Diesel,29100,1683899,Mumbai,2019 Mahindra XUV500 W11 (O) AT Automatic,3
41,Manual,1st Owner,Petrol,33801,529299,Mumbai,2017 Maruti Swift VXI Manual,5
42,Manual,1st Owner,Petrol,16583,312899,Mumbai,2014 Hyundai Eon SPORTZ Manual,8
43,Automatic,1st Owner,Petrol,11312,1015799,Mumbai,2021 Honda Amaze 1.2 V CVT I VTEC Automatic,1
44,Manual,1st Owner,Petrol,14370,1567899,Mumbai,2019 KIA SELTOS GTX+ 1.4 MT Manual,3
45,Manual,1st Owner,Petrol,43709,1312499,Mumbai,2017 Toyota Innova Crysta 2.7 GX 7 STR MT Manual,5
46,Manual,1st Owner,Petrol,20804,582399,Mumbai,2016 Hyundai Elite i20 ASTA 1.2 Manual,6
47,Automatic,1st Owner,Petrol,3028,1333899,Mumbai,2021 Hyundai VENUE 1.0 TURBO GDI SX+ AT Automatic,1
48,Manual,1st Owner,Diesel,134186,461299,Mumbai,2012 Maruti Swift Dzire VDI BS IV Manual,10
49,Automatic,1st Owner,Petrol,11207,1911499,Mumbai,2020 KIA SELTOS 1.4 GTX+ TURBO GDI PETROL AT Automatic,2
50,Automatic,1st Owner,Petrol,44439,403899,Mumbai,2015 Maruti Celerio VXI AMT Automatic,7
51,Manual,2nd Owner,Petrol,32964,502999,Mumbai,2015 Hyundai Elite i20 ASTA 1.2 Manual,7
52,Automatic,1st Owner,Diesel,25706,1962199,Mumbai,2020 Hyundai Creta 1.6 SX AT CRDI Automatic,2
53,Manual,1st Owner,Petrol,32071,567299,Mumbai,2016 Honda Jazz VX  1.2 Manual,6
54,Manual,1st Owner,Petrol,65631,563499,Mumbai,2018 Honda Amaze 1.2 EMT I VTEC Manual,4
55,Manual,1st Owner,Petrol + CNG,44274,604099,Mumbai,2019 Hyundai Grand i10 MAGNA CNG Manual,3
56,Manual,1st Owner,Diesel,52985,690599,Mumbai,2016 Ford Ecosport 1.5TITANIUM TDCI Manual,6
57,Manual,2nd Owner,Diesel,65377,661899,Mumbai,2016 Hyundai Elite i20 1.4 CRDI ASTA (O) Manual,6
