,Transimission_Type,Ownership,Fuel_Used,km_driven,selling_price,Place of Origin,Complete_Info,Age
0,Manual,1st Owner,Diesel,10141,2115299,Noida,2021 Tata Harrier XZ 2.0L Kryotec Manual,1
1,Manual,1st Owner,Petrol,11399,783699,Noida,2020 Skoda Rapid ACTIVE 1.0 TSI Manual,2
2,Manual,1st Owner,Diesel,46400,2019999,Noida,2019 Jeep Compass 2.0 LIMITED Manual,3
3,Manual,2nd Owner,Petrol,65856,396399,Noida,2014 Volkswagen Polo HIGHLINE1.2L PETROL Manual,8
4,Manual,1st Owner,Diesel,76959,1239499,Noida,2017 Jeep Compass 2.0 LIMITED Manual,5
5,Manual,1st Owner,Petrol,45765,420999,Noida,2014 Volkswagen Polo HIGHLINE1.2L PETROL Manual,8
6,Automatic,1st Owner,Petrol,46437,1897599,Noida,2017 Skoda Superb 1.8 TSI LK AT Automatic,5
7,Automatic,1st Owner,Diesel,53102,510199,Noida,2015 Skoda Rapid 1.5 TDI AT ELEGANCE Automatic,7
8,Manual,2nd Owner,Petrol,12981,1155299,Noida,2020 KIA SELTOS HTK PLUS 1.5 PETROL Manual,2
9,Automatic,1st Owner,Petrol,17811,496899,Noida,2018 Tata Tiago XTA 1.2 PETROL Automatic,4
10,Manual,2nd Owner,Petrol,23733,612599,Noida,2018 Honda Jazz 1.2 SV MT Manual,4
11,Manual,2nd Owner,Petrol,66782,286199,Noida,2011 Hyundai i10 SPORTZ 1.2 KAPPA2 Manual,11
12,Automatic,1st Owner,Petrol,84205,1409199,Noida,2017 Toyota Innova Crysta 2.7 ZX AT 7 STR Automatic,5
13,Manual,1st Owner,Petrol,21886,687199,Noida,2020 Volkswagen Polo COMFORTLINE 1.0 PETROL Manual,2
14,Automatic,1st Owner,Petrol,23622,674599,Noida,2017 Honda Jazz 1.2 V AT Automatic,5
15,Manual,1st Owner,Petrol,80631,981699,Noida,2019 Hyundai Verna 1.6 SX VTVT (O) Manual,3
16,Automatic,2nd Owner,Diesel,30382,1619599,Noida,2016 BMW X1 SDRIVE 20D Automatic,6
17,Automatic,1st Owner,Petrol,58533,975899,Noida,2014 Toyota Corolla Altis VL AT Automatic,8
18,Manual,1st Owner,Petrol,37816,346399,Noida,2015 Hyundai i10 SPORTZ 1.1 IRDE2 Manual,7
19,Automatic,2nd Owner,Diesel,91557,1402899,Noida,2014 Audi A3 35TDI PREMIUM Automatic,8
20,Manual,1st Owner,Petrol,10350,342699,Noida,2014 Maruti Wagon R 1.0 LXI Manual,8
21,Manual,2nd Owner,Petrol,55218,350399,Noida,2017 Maruti Wagon R 1.0 LXI Manual,5
22,Automatic,1st Owner,Diesel,51934,1291799,Noida,2014 Audi A3 2.0 TDI  PREMIUM Automatic,8
23,Automatic,2nd Owner,Petrol,52354,522699,Noida,2015 Honda Jazz 1.2 V AT Automatic,7
24,Manual,1st Owner,Petrol,58639,1274699,Noida,2017 Toyota Corolla Altis GL Manual,5
25,Manual,1st Owner,Petrol,67923,486499,Noida,2011 Toyota Corolla Altis 1.8 G Manual,11
26,Manual,1st Owner,Petrol,62798,333199,Noida,2014 Maruti Wagon R 1.0 LXI Manual,8
27,Automatic,1st Owner,Petrol,35362,550499,Noida,2015 Honda Jazz 1.2 V AT Automatic,7
28,Manual,1st Owner,Petrol,25138,414099,Noida,2017 Maruti Wagon R 1.0 VXI Manual,5
29,Manual,1st Owner,Petrol,62113,358999,Noida,2015 Maruti Wagon R 1.0 LXI Manual,7
30,Manual,1st Owner,Diesel,49413,1572699,Noida,2019 MG HECTOR SHARP 2.0 DIESEL Manual,3
31,Manual,3rd Owner,Petrol,11731,453999,Noida,2020 Maruti New  Wagon-R LXI 1.0 L Manual,2
32,Manual,1st Owner,Petrol,60584,235099,Noida,2010 Hyundai i10 MAGNA 1.1 IRDE2 Manual,12
33,Manual,2nd Owner,Petrol,62171,614799,Noida,2017 Honda WR-V 1.2 i-VTEC S MT Manual,5
34,Manual,2nd Owner,Petrol,49537,337299,Noida,2015 Maruti Wagon R 1.0 LXI Manual,7
35,Manual,2nd Owner,Diesel,52447,1613299,Noida,2019 MG HECTOR SUPER DIESEL Manual,3
36,Manual,3rd Owner,Petrol,12761,371599,Noida,2012 Maruti Swift ZXI Manual,10
37,Manual,1st Owner,Petrol,41575,323699,Noida,2018 Maruti Alto 800 LXI Manual,4
38,Manual,1st Owner,Petrol,44319,204199,Noida,2009 Hyundai i10 ERA 1.1 IRDE Manual,13
39,Manual,1st Owner,Petrol,12225,488499,Noida,2018 Maruti Celerio VXI Manual,4
40,Manual,1st Owner,Diesel,71745,1270999,Noida,2018 Jeep Compass 2.0 LONGITUDE Manual,4
41,Manual,1st Owner,Diesel,62837,560499,Noida,2017 Honda Jazz 1.5 VX I DTEC Manual,5
42,Manual,1st Owner,Diesel,89851,392899,Noida,2015 Maruti Swift VDI ABS Manual,7
43,Manual,1st Owner,Petrol,116661,691999,Noida,2014 Toyota Corolla Altis G Manual,8
44,Automatic,1st Owner,Diesel,90501,1190899,Noida,2017 Mahindra XUV500 W8 FWD AT Automatic,5
45,Automatic,1st Owner,Petrol,7760,556499,Noida,2021 Renault Kwid 1.0 CLIMBER OPT AMT Automatic,1
46,Manual,1st Owner,Petrol,65307,364099,Noida,2013 Maruti Swift LXI Manual,9
