,Transimission_Type,Ownership,Fuel_Used,km_driven,selling_price,Place of Origin,Complete_Info,Age
0,Manual,1st Owner,Petrol,8118,680399,Pune,2020 Tata Tiago XZ+ 1.2 Revotron Manual,2
1,Manual,2nd Owner,Petrol,115474,369299,Pune,2013 Hyundai i20 MAGNA O 1.2 Manual,9
2,Automatic,1st Owner,Petrol,6871,1072099,Pune,2021 Volkswagen Polo HIGHLINE PLUS 1.0 TSI AT Automatic,1
3,Automatic,2nd Owner,Petrol,18723,565799,Pune,2018 Tata Tiago XZA 1.2 REVOTRON Automatic,4
4,Manual,1st Owner,Petrol,7736,1101499,Pune,2020 Hyundai VENUE SX 1.0 GDI IMT Manual,2
5,Manual,1st Owner,Petrol,35472,517099,Pune,2016 Honda Amaze 1.2 SX MT I VTEC Manual,6
6,Automatic,1st Owner,Diesel,82015,681499,Pune,2018 Volkswagen Ameo HIGHLINE PLUS DSG 1.5 Automatic,4
7,Manual,1st Owner,Diesel,53508,439999,Pune,2016 Maruti Celerio VDI Manual,6
8,Manual,1st Owner,Petrol,9981,673599,Pune,2019 Renault TRIBER 1.0 RXT Manual,3
9,Manual,1st Owner,Diesel,48135,387399,Pune,2013 Toyota Etios Liva GD Manual,9
10,Automatic,1st Owner,Petrol,22989,687799,Pune,2018 Maruti Swift VXI AMT Automatic,4
11,Manual,1st Owner,Petrol,50184,548699,Pune,2016 Volkswagen Polo HIGHLINE1.2L PETROL Manual,6
12,Manual,1st Owner,Petrol,28999,530699,Pune,2016 Volkswagen Polo HIGHLINE1.2L PETROL Manual,6
13,Manual,2nd Owner,Petrol,56711,371099,Pune,2012 Hyundai i20 MAGNA O 1.2 Manual,10
14,Automatic,1st Owner,Petrol,16389,1130999,Pune,2019 Maruti Ertiga ZXI SMART HYBRID AT Automatic,3
15,Manual,2nd Owner,Petrol,14724,504399,Pune,2016 Maruti Swift VXI Manual,6
16,Manual,1st Owner,Petrol,13566,715999,Pune,2019 Hyundai Elite i20 1.2 SPORTS PLUS VTVT Manual,3
17,Automatic,1st Owner,Petrol,34507,440299,Pune,2018 Renault Kwid RXT 1.0 EASY-R AT OPTION Automatic,4
18,Automatic,1st Owner,Petrol,39506,1130999,Pune,2019 Maruti Ertiga ZXI SMART HYBRID AT Automatic,3
19,Manual,1st Owner,Diesel,37082,1814599,Pune,2018 Toyota Innova Crysta 2.4 VX 7 STR Manual,4
20,Manual,1st Owner,Petrol,32242,612599,Pune,2019 Maruti New  Wagon-R ZXI 1.2 Manual,3
21,Manual,1st Owner,Diesel,17898,1460099,Pune,2020 Hyundai Creta S CRDI Manual,2
22,Automatic,1st Owner,Petrol,35598,467999,Pune,2017 Maruti Celerio VXI AMT Automatic,5
23,Manual,1st Owner,Petrol,15847,666899,Pune,2019 Renault TRIBER 1.0 RXZ Manual,3
24,Manual,1st Owner,Petrol,48077,458399,Pune,2014 Maruti Swift Dzire VXI 1.2 BS IV Manual,8
25,Automatic,1st Owner,Petrol,53139,487299,Pune,2017 Maruti Celerio ZXI AMT Automatic,5
26,Automatic,1st Owner,Petrol,30100,431699,Pune,2017 Renault Kwid CLIMBER 1.0 AT Automatic,5
27,Automatic,1st Owner,Petrol,21774,1102199,Pune,2018 Hyundai Verna 1.6 SX VTVT AT (O) Automatic,4
28,Manual,1st Owner,Diesel,56570,786799,Pune,2017 Skoda Rapid 1.5 TDI MT STYLE Manual,5
29,Manual,1st Owner,Diesel,117368,633899,Pune,2016 Renault Duster 85 PS RXL Manual,6
30,Manual,2nd Owner,Diesel,53444,629599,Pune,2017 Maruti Swift VDI OPT Manual,5
31,Automatic,1st Owner,Petrol,48706,435599,Pune,2018 Renault Kwid RXT 1.0 EASY-R AT OPTION Automatic,4
32,Manual,1st Owner,Diesel,20053,1105799,Pune,2020 Tata NEXON XZ+ 1.5 Manual,2
33,Manual,2nd Owner,Petrol,85796,550099,Pune,2015 Volkswagen Vento HIGHLINE PETROL Manual,7
34,Automatic,1st Owner,Petrol,36707,456799,Pune,2019 Renault Kwid CLIMBER 1.0 AT Automatic,3
35,Manual,1st Owner,Petrol,29851,514399,Pune,2014 Honda City SV MT PETROL Manual,8
36,Manual,1st Owner,Diesel,42820,883799,Pune,2015 Mahindra XUV500 W8 FWD Manual,7
37,Manual,1st Owner,Petrol,6136,569699,Pune,2018 Ford Figo Aspire 1.2 Trend+ Petrol Manual,4
38,Manual,1st Owner,Petrol,30902,501799,Pune,2016 Volkswagen Ameo HIGHLINE 1.2 Manual,6
39,Manual,2nd Owner,Diesel,60443,548899,Pune,2015 Toyota Etios CROSS 1.4 GD Manual,7
40,Automatic,2nd Owner,Petrol,28792,538499,Pune,2018 Tata Tiago XZA 1.2 REVOTRON Automatic,4
41,Manual,2nd Owner,Petrol,40762,396499,Pune,2013 Maruti Swift VXI Manual,9
42,Manual,1st Owner,Petrol,91842,474299,Pune,2015 Maruti Swift Dzire VXI 1.2 BS IV Manual,7
43,Manual,1st Owner,Petrol,2839,532099,Pune,2019 Hyundai NEW SANTRO SPORTZ 1.1 Manual,3
44,Automatic,1st Owner,Petrol,8305,1911499,Pune,2020 KIA SELTOS 1.4 GTX+ TURBO GDI PETROL AT Automatic,2
45,Manual,1st Owner,Petrol,8228,1116999,Pune,2021 Maruti S Cross ZETA SHVS PETROL Manual,1
46,Manual,1st Owner,Petrol,6396,1131099,Pune,2021 Maruti S Cross ZETA SHVS PETROL Manual,1
47,Manual,2nd Owner,Petrol,80847,475799,Pune,2014 Toyota Etios CROSS 1.5 V Manual,8
48,Manual,3rd Owner,Petrol,58066,203499,Pune,2011 Maruti Alto K10 VXI Manual,11
49,Manual,1st Owner,Diesel,73476,555899,Pune,2014 Honda City V MT DIESEL Manual,8
50,Manual,1st Owner,Petrol,54935,403799,Pune,2013 Maruti Swift VXI Manual,9
51,Automatic,2nd Owner,Petrol,22682,1670599,Pune,2017 Skoda Superb 1.8 TSI LK AT Automatic,5
52,Automatic,1st Owner,Petrol,49358,647499,Pune,2016 Honda Jazz 1.2 V AT Automatic,6
53,Manual,2nd Owner,Diesel,126134,496799,Pune,2012 Renault Duster RXZ DIESEL 110 Manual,10
54,Manual,1st Owner,Petrol,7162,697599,Pune,2020 Hyundai GRAND I10 NIOS SPORTZ PETROL Manual,2
55,Automatic,1st Owner,Petrol,14623,1804399,Pune,2020 Hyundai Creta 1.4 SX(O) TURBO GDI DCT Automatic,2
56,Manual,1st Owner,Diesel,143495,834199,Pune,2016 Mahindra Scorpio S2 Manual,6
57,Manual,2nd Owner,Petrol,56153,704899,Pune,2015 Honda City VX MT PETROL Manual,7
58,Manual,1st Owner,Petrol,86297,438399,Pune,2016 Hyundai Grand i10 ASTA 1.2 (O) VTVT Manual,6
59,Automatic,1st Owner,Diesel,97490,1034499,Pune,2015 Volkswagen Jetta HIGHLINE TDI AT Automatic,7
60,Manual,1st Owner,Diesel,136161,411899,Pune,2012 Maruti Swift Dzire VDI BS IV Manual,10
61,Automatic,2nd Owner,Petrol,34366,615799,Pune,2016 Honda Jazz 1.2 V AT Automatic,6
62,Manual,1st Owner,Petrol,42615,547199,Pune,2016 Honda Jazz 1.2 V MT Manual,6
63,Manual,1st Owner,Petrol,29583,505999,Pune,2018 Maruti Celerio VXI Manual,4
64,Manual,4th Owner,Petrol,45146,388299,Pune,2013 Honda Amaze 1.2 SMT I VTEC Manual,9
65,Manual,1st Owner,Petrol,54417,447599,Pune,2014 Maruti Swift Dzire VXI 1.2 BS IV Manual,8
66,Automatic,1st Owner,Petrol,6249,1991199,Pune,2021 MG HECTOR SHARP DCT PETROL Automatic,1
67,Manual,1st Owner,Diesel,30456,1146299,Pune,2019 Hyundai VENUE SX(O) CRDi Manual,3
68,Automatic,1st Owner,Petrol,21643,1463099,Pune,2019 KIA SELTOS GTX 1.4 GDI AT PETROL Automatic,3
69,Manual,2nd Owner,Petrol,44460,689099,Pune,2017 Hyundai Elite i20 ASTA 1.2 (O) Manual,5
70,Manual,1st Owner,Petrol,81006,481599,Pune,2016 Hyundai Grand i10 SPORTZ 1.2 KAPPA VTVT Manual,6
