"Sl_No","Transmission_Type","Ownership","Fuel_Used","km_driven","Ex_Showroom_Price","On_road_Price","selling_price","Place_of_Origin","Complete_Info","Age","MRP"
"0",""" Manual""","""1st Owner""",""" Petrol""","8339","394000","","337599",""" Ahmedabad""",""" 2016 Maruti Alto K10 VXI Manual""","6","472800"
"1",""" Automatic""","""1st Owner""",""" Petrol""","950","","1859000.0","1630999",""" Ahmedabad""",""" 2021 Mahindra Thar LX PETROL AT 4WD Automatic""","1","1859000"
"2",""" Manual""","""1st Owner""",""" Petrol""","7831","573000","","629599",""" Ahmedabad""",""" 2021 Maruti Swift LXI Manual""","1","687600"
"3",""" Manual""","""2nd Owner""",""" Petrol""","21596","1129000","1304929.0","1039099",""" Ahmedabad""",""" 2020 Maruti Ertiga ZXI Plus SHVS Manual""","2","1304929"
"4",""" Manual""","""1st Owner""",""" Petrol""","29438","1129000","1304929.0","1039099",""" Ahmedabad""",""" 2020 Maruti Ertiga ZXI Plus SHVS Manual""","2","1304929"
"5",""" Manual""","""1st Owner""",""" Petrol""","58962","479000","","382799",""" Ahmedabad""",""" 2015 Hyundai i10 SPORTZ 1.1 IRDE2 Manual""","7","574800"
"6",""" Manual""","""1st Owner""",""" Petrol""","5645","1055000","","991099",""" Ahmedabad""",""" 2020 Tata NEXON XZ+ 1.2 Manual""","2","1266000"
"7",""" Manual""","""1st Owner""",""" Petrol""","3586","","630000.0","580599",""" Ahmedabad""",""" 2020 Maruti New  Wagon-R VXI 1.0 Manual""","2","630000"
"8",""" Automatic""","""2nd Owner""",""" Diesel""","40422","","3618000.0","1968199",""" Ahmedabad""",""" 2018 Audi A3 35TDI PREMIUM Automatic""","4","3618000"
"9",""" Manual""","""1st Owner""",""" Petrol""","38635","450000","","367599",""" Ahmedabad""",""" 2015 Hyundai i10 MAGNA 1.1 IRDE2 Manual""","7","540000"
"10",""" Manual""","""1st Owner""",""" Diesel""","68394","850000","","584199",""" Ahmedabad""",""" 2017 Volkswagen Polo HIGHLINE1.5L DIESEL Manual""","5","1020000"
"11",""" Manual""","""1st Owner""",""" Diesel""","3378","","1843000.0","1673799",""" Ahmedabad""",""" 2021 Hyundai Creta SX MT Manual""","1","1843000"
"12",""" Manual""","""1st Owner""",""" Petrol""","13842","","697000.0","576699",""" Ahmedabad""",""" 2016 Maruti Swift VXI OPT Manual""","6","697000"
"13",""" Automatic""","""1st Owner""",""" Petrol""","18829","694000","","579799",""" Ahmedabad""",""" 2017 Honda Brio 1.2 VX AT I VTEC Automatic""","5","832800"
"14",""" Manual""","""2nd Owner""",""" Petrol""","8543","619000","","656599",""" Ahmedabad""",""" 2021 Maruti Swift VXI Manual""","1","742800"
"15",""" Manual""","""1st Owner""",""" Petrol""","38507","","607000.0","491199",""" Ahmedabad""",""" 2018 Maruti Celerio VXI Manual""","4","607000"
"16",""" Automatic""","""1st Owner""",""" Petrol""","12467","993000","","1102499",""" Ahmedabad""",""" 2021 Volkswagen Polo GT TSI AT 1.0 Automatic""","1","1191600"
"17",""" Manual""","""1st Owner""",""" Diesel""","52410","1674000","","1487699",""" Ahmedabad""",""" 2018 Toyota Innova Crysta 2.4 GX 7 STR Manual""","4","2008800"
"18",""" Manual""","""1st Owner""",""" Petrol""","16721","383000","","381799",""" Ahmedabad""",""" 2018 Renault Kwid 1.0 RXT Opt Manual""","4","459600"
"19",""" Manual""","""2nd Owner""",""" Petrol""","37711","619000","","563799",""" Ahmedabad""",""" 2019 Maruti Swift VXI Manual""","3","742800"
"20",""" Manual""","""1st Owner""",""" Petrol""","10024","","520000.0","468199",""" Ahmedabad""",""" 2020 Maruti S PRESSO VXI Manual""","2","520000"
"21",""" Manual""","""1st Owner""",""" Petrol""","20605","","685000.0","564299",""" Ahmedabad""",""" 2019 Maruti New  Wagon-R ZXI 1.2 Manual""","3","685000"
"22",""" Manual""","""1st Owner""",""" Petrol""","39435","","605000.0","499899",""" Ahmedabad""",""" 2015 Maruti Swift VXI Manual""","7","605000"
"23",""" Manual""","""2nd Owner""",""" Petrol""","47367","450000","","371599",""" Ahmedabad""",""" 2015 Hyundai i10 MAGNA 1.1 IRDE2 Manual""","7","540000"
"24",""" Manual""","""1st Owner""",""" Petrol""","26980","623000","","588899",""" Ahmedabad""",""" 2018 Volkswagen Polo COMFORTLINE 1.0 PETROL Manual""","4","747600"
"25",""" Manual""","""1st Owner""",""" Petrol""","41268","450000","","371599",""" Ahmedabad""",""" 2015 Hyundai i10 MAGNA 1.1 IRDE2 Manual""","7","540000"
"26",""" Manual""","""1st Owner""",""" Petrol""","31321","","607000.0","492399",""" Ahmedabad""",""" 2018 Maruti Celerio VXI Manual""","4","607000"
"27",""" Manual""","""1st Owner""",""" Petrol""","36695","","605000.0","486699",""" Ahmedabad""",""" 2015 Maruti Swift VXI Manual""","7","605000"
"28",""" Manual""","""2nd Owner""",""" Petrol""","34834","420000","","349999",""" Ahmedabad""",""" 2014 Maruti Celerio VXI Manual""","8","504000"
"29",""" Manual""","""1st Owner""",""" Petrol""","40074","710000","","563199",""" Ahmedabad""",""" 2016 Volkswagen Polo HIGHLINE1.2L PETROL Manual""","6","852000"
"30",""" Manual""","""1st Owner""",""" Petrol""","31436","383000","","360699",""" Ahmedabad""",""" 2018 Renault Kwid 1.0 RXT Opt Manual""","4","459600"
"31",""" Manual""","""1st Owner""",""" Petrol""","5306","725000","","804399",""" Ahmedabad""",""" 2020 Hyundai VENUE S MT 1.2 KAPPA Manual""","2","870000"
"32",""" Manual""","""1st Owner""",""" Petrol""","38732","520000","","400899",""" Ahmedabad""",""" 2015 Honda Brio 1.2 S MT I VTEC Manual""","7","624000"
"33",""" Manual""","""1st Owner""",""" Petrol""","24576","420000","607000.0","420099",""" Ahmedabad""",""" 2017 Maruti Celerio VXI Manual""","5","607000"
