2022-07-16/12:16:28		 file5_semicleaned.csv: File Transformed successfully!!
2022-07-16/12:21:29		 file5_semicleaned.csv: File Transformed successfully!!
2022-07-16/12:35:48		 file5_semicleaned.csv: File Transformed successfully!!
2022-07-16/12:37:09		 file5_semicleaned.csv: File Transformed successfully!!
2022-07-16/12:57:14		 file5_semicleaned.csv: File Transformed successfully!!
2022-07-16/13:08:20		 file5_semicleaned.csv: File Transformed successfully!!
2022-07-16/13:39:19		 file5_semicleaned.csv: File Transformed successfully!!
2022-07-16/13:44:09		 file5_semicleaned.csv: File Transformed successfully!!
2022-07-16/13:52:43		 file5_semicleaned.csv: File Transformed successfully!!
2022-07-16/13:56:45		 file5_semicleaned.csv: File Transformed successfully!!
2022-07-16/13:57:13		 file5_semicleaned.csv: File Transformed successfully!!
2022-07-16/13:59:38		 file5_semicleaned.csv: File Transformed successfully!!
2022-07-16/14:02:35		 file5_semicleaned.csv: File Transformed successfully!!
2022-07-16/14:07:11		 file5_semicleaned.csv: File Transformed successfully!!
2022-07-16/14:08:06		 file5_semicleaned.csv: File Transformed successfully!!
2022-07-17/11:25:47		 file5_semicleaned.csv: File Transformed successfully!!
2022-07-17/22:12:28		 file5_semicleaned.csv: File Transformed successfully!!
2022-07-18/17:17:03		 file5_semicleaned.csv: File Transformed successfully!!
2022-07-18/17:40:04		 file5_semicleaned.csv: File Transformed successfully!!
2022-07-20/13:45:20		 file5_semicleaned.csv: File Transformed successfully!!
2022-07-20/14:09:02		 file5_semicleaned.csv: File Transformed successfully!!
2022-07-20/14:09:49		 file5_semicleaned.csv: File Transformed successfully!!
2022-07-20/14:35:38		 file5_semicleaned.csv: File Transformed successfully!!
2022-07-20/14:57:22		 file5_semicleaned.csv: File Transformed successfully!!
2022-07-20/14:58:58		 file5_semicleaned.csv: File Transformed successfully!!
2022-07-20/15:49:59		 file5_semicleaned.csv: File Transformed successfully!!
2022-07-20/15:55:09		 file5_semicleaned.csv: File Transformed successfully!!
2022-07-20/15:56:08		 file5_semicleaned.csv: File Transformed successfully!!
2022-07-20/16:04:43		 file5_semicleaned.csv: File Transformed successfully!!
2022-07-20/16:33:26		 file5_semicleaned.csv: File Transformed successfully!!
2022-07-20/22:33:10		 file5_semicleaned.csv: File Transformed successfully!!
2022-07-20/23:07:05		 file5_semicleaned.csv: File Transformed successfully!!
2022-07-21/12:31:43		 file5_semicleaned.csv: File Transformed successfully!!
2022-07-21/13:06:43		 file5_semicleaned.csv: File Transformed successfully!!
