,km_driven,selling_price,Age,Luxury_Segment,Fuel_Used_Gas,Fuel_Used_Petrol,Ownership_2nd Owner,Ownership_3rd Owner,Ownership_4th Owner,Transimission_Type_Manual
0,46245,432499,7,0,0,0,0,0,0,1
1,95779,383499,10,0,0,1,0,0,0,1
2,12761,371599,10,0,0,1,0,1,0,1
3,41575,323699,4,0,0,1,0,0,0,1
4,89851,392899,7,0,0,0,0,0,0,1
5,18534,456299,5,0,0,1,0,0,0,1
6,33228,464499,8,0,0,1,0,0,0,0
7,35853,486499,5,0,0,1,0,0,0,1
8,91792,505199,6,0,0,0,0,0,0,1
9,28998,646599,6,0,0,0,0,0,0,1
10,41253,684299,6,0,0,1,0,0,0,0
11,16042,1183099,4,0,0,0,0,0,0,1
12,48186,630099,9,0,0,0,1,0,0,1
13,78203,855999,5,0,0,0,0,0,0,1
14,89716,454499,8,0,0,0,0,0,0,1
15,11828,925899,1,0,0,1,0,0,0,0
16,51904,482099,8,0,0,0,0,0,0,1
17,82295,964299,8,0,0,0,0,0,0,1
18,64347,650599,8,0,0,0,0,0,0,1
19,58072,537099,7,0,0,0,0,0,0,1
20,83338,509699,7,0,0,0,0,0,0,1
21,2213,1213499,1,0,0,0,0,0,0,1
22,13554,1169399,1,0,0,1,0,0,0,1
23,29809,398799,6,0,0,1,0,0,0,1
24,42881,1455599,9,1,0,0,1,0,0,0
25,71745,1270999,4,1,0,0,0,0,0,1
26,45022,907899,5,0,0,0,1,0,0,1
27,27650,651699,5,0,0,0,0,0,0,1
28,42422,270399,12,0,0,1,1,0,0,1
29,90086,1577799,7,1,0,0,1,0,0,0
30,2775,1837899,2,1,0,1,0,0,0,1
31,35681,1526399,7,1,0,0,1,0,0,0
32,63088,534699,6,0,0,1,1,0,0,1
33,23604,1093299,3,0,0,1,0,0,0,1
34,48915,244099,12,0,0,1,1,0,0,1
35,73865,599699,6,0,0,0,0,0,0,1
36,78295,1642299,6,1,0,0,1,0,0,1
37,17682,739999,5,0,0,1,0,0,0,1
38,30382,1619599,6,1,0,0,1,0,0,0
39,167105,497299,8,0,0,0,0,0,0,1
40,64017,597699,9,0,0,0,0,0,0,1
41,44694,1283299,8,1,0,0,0,0,0,0
42,28309,1358299,7,1,0,0,0,0,0,1
43,6344,821699,1,0,0,1,0,0,0,0
44,41411,1060999,9,0,0,1,0,0,0,0
45,95302,378899,7,0,0,0,0,0,0,1
46,35452,512799,5,0,0,1,0,0,0,1
47,12456,1874599,1,0,0,0,0,0,0,1
48,103602,1122199,6,0,0,1,1,0,0,0
49,45293,585399,7,0,0,1,0,0,0,1
50,102593,389799,8,0,0,0,0,0,0,1
51,34566,423899,12,0,0,1,0,0,0,1
52,83316,399999,9,0,0,0,0,0,0,1
53,60774,298999,12,0,0,1,0,0,0,1
54,68298,1190399,8,1,0,0,0,0,0,1
55,10325,822499,2,0,0,1,0,0,0,1
56,34586,563399,7,0,0,1,0,0,0,1
57,43868,395299,8,0,0,0,0,1,0,1
58,32976,1976899,8,0,0,0,0,0,0,0
59,50153,1193599,4,0,0,0,0,0,0,0
60,70806,397699,9,0,0,0,0,0,0,1
61,85153,792799,6,0,0,0,0,0,0,1
62,121393,614599,9,0,0,0,1,0,0,1
63,53102,510199,7,1,0,0,0,0,0,0
64,45710,505399,7,0,0,0,0,0,0,1
65,46911,629299,7,0,0,0,0,0,0,1
66,83563,513699,7,0,0,0,0,0,0,1
67,31472,867899,3,0,0,1,0,0,0,1
68,97106,387899,9,0,0,0,0,0,0,1
69,76959,1239499,5,1,0,0,0,0,0,1
70,55090,470099,7,0,0,0,0,0,0,1
71,66530,1039599,6,0,0,0,1,0,0,1
72,78882,495899,8,0,0,1,0,0,0,1
73,7877,394299,5,0,0,1,1,0,0,1
74,7661,961899,1,0,0,1,0,0,0,0
75,118048,719299,7,0,0,0,0,0,0,1
76,53468,862599,7,0,0,0,0,0,0,1
77,40661,862599,7,0,0,1,0,0,0,1
78,59717,448499,8,0,0,0,0,0,0,1
79,38501,446399,8,0,0,0,0,0,0,1
80,50070,503899,8,0,0,0,0,0,0,1
81,78344,431299,8,0,0,0,0,0,0,1
82,89391,430399,8,0,0,0,0,0,0,1
83,56671,367399,10,0,0,1,1,0,0,1
84,51726,767599,7,0,0,0,0,0,0,1
85,70007,989999,8,0,0,0,0,0,0,1
86,78915,508599,8,0,0,1,0,0,0,1
87,27328,693199,6,0,0,0,0,0,0,1
88,18853,551799,6,0,0,1,1,0,0,1
89,72470,483799,8,0,0,0,0,0,0,1
90,14941,428699,5,0,0,1,0,0,0,1
91,52334,593199,6,0,0,1,0,0,0,1
92,93680,469599,7,0,0,0,1,0,0,1
93,53672,428399,7,0,0,0,1,0,0,1
94,60014,603099,6,0,0,0,0,0,0,1
95,25190,563899,5,0,0,1,0,0,0,1
96,42263,566199,6,0,0,1,0,0,0,1
97,36417,892499,3,0,0,1,0,0,0,1
98,48118,307499,9,0,0,0,0,0,0,1
99,89117,616699,8,0,0,0,0,0,0,1
100,11731,453999,2,0,0,1,0,1,0,1
101,79409,597699,6,0,0,0,1,0,0,1
102,49273,528899,9,0,0,0,0,0,0,1
103,73665,578799,6,0,0,0,1,0,0,1
104,30809,546399,6,0,0,1,0,0,0,1
105,55639,541199,6,0,0,0,0,0,0,1
106,42478,544899,6,0,0,1,0,0,0,1
107,67443,557299,6,0,0,0,0,0,0,1
108,39101,463499,8,0,0,0,0,0,0,1
109,151830,613199,6,0,0,0,0,0,0,1
110,102161,613399,6,0,0,0,0,0,0,1
111,161023,465899,9,0,0,0,0,0,0,1
112,18899,582899,3,0,0,1,0,0,0,1
113,53567,611799,5,0,0,0,0,0,0,1
114,50089,313699,9,0,0,0,0,0,0,1
115,32482,397199,9,0,0,1,0,0,0,1
116,50969,448399,8,0,0,0,1,0,0,1
117,71903,478399,8,0,0,1,0,0,0,1
118,49192,415099,8,0,0,0,1,0,0,1
119,13776,872899,3,0,0,1,1,0,0,0
120,77604,1168899,9,1,0,0,0,0,0,1
121,87758,1022099,6,0,0,0,1,0,0,1
122,57061,620799,4,0,0,0,0,0,0,1
123,72644,507499,6,0,0,1,0,0,0,1
124,33302,477499,9,0,0,0,0,0,0,1
125,51966,461299,5,0,0,0,1,0,0,1
